Hash,MD5,SHA1,Meaningful_Name,First_Seen,Signer,Serial
f548cdeee5c84e00faee1ea3195be8ede0b64dc00cc33280578014b09ee3bcd0,9a90bd1f3d5e7350875904362063841d,5fb7a301b8724ccedd7983d91646f5d4ee683dc8,updater_helper.exe,5/18/23,BLOOMTECHNOLOGY.INC,008B3F8F725F80DECBDB4920ADA8817F3A
ab917cf806fc808f2beaa09d52ef93632501de1f604ce02c4cd7249960913a30,92cff085a05ffa16af63eeab87292cfd,ffd06edf0f5c550f51ec00aa499e4ee0f771cf67,C:\Users\user\AppData\Local\Temp\p4r3ojwb.qqg\SetupPortierVision_4.11.0.exe,1/11/24,Portier Global Pty Ltd,4824B75744F606DCEEF3A06D638FFDA2
d56f2b7e9bdb192171dc5e68bf1c5f06446c73f2f5b75e49eb00886849e480a9,54adf5555e181e878c83180a2151baa3,b5eda1fe33e2fce1efa5abcb74fd41892bb5802c,Goheard Setup.exe,4/26/24,"GZ.PurestJone Network Technology Co., Ltd.",5076171603477D5BD6AEB984
81b113143e51fe458001e6dd94b58ccaaa92accfed3144ec91b683c3f7a8c7df,ce88042364195c44d6760e77fba8c3ab,06240a48ff3eeec6d2d30d3fb3d83170a139e3bb,TenioDL_core.dll_1,6/26/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
e86943be5b1c00a2e28d60ecb246ec06cde946ff0713ee2774c65ccbb6499c25,adb292cf00b16af6fcdb3c5a10c275b3,bdf4ab71f7262620e2a00a67b9d7cbee09c91544,,7/1/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
746cd25d41bd556e7bb1ea7d9a2d896e5a523debb2cf14cfc97fa7c9157a8ce3,c72926f7d5d7bc4f8f00af2a473c2bac,aad41c3305397cbe25fdedd6dc8d3a1d0334c307,WindowsFormsApp3.exe,7/3/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
ff0defea1db8e01ed19e4569b748d2732de4a693df559ffc16ac13b148580127,19af6300a5a93d79516802b03380bff6,58df6094475400114c10da99e0dda9497003c6b9,WindowsFormsApp3.exe,7/5/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
733f14804c82acbf657120d75b149525d8b71c28a65c79133dedf0dc13f7b41e,25deeefe0ce2a3ac485a544291b1493a,dc7e68c0449583444aaf6ac91b473f13c5bf3068,C:\Users\ascoo\Downloads\2024-07-10\733f14804c82acbf657120d75b149525d8b71c28a65c79133dedf0dc13f7b41e.dll,7/10/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
a60be721f15ff25e189de6171ac01fd23f99ea0fd5ab8af02b49b779a2835667,759326438fa3ad252603e55c46da015e,662e868a733c1dabe4024f250a37f34e9de49c5d,,7/10/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
dd778869414591464c6d34708ed7c91affad8ecd16355d54a6d8fe95ee553c83,e0552b0cd0807d18e5a402d50b0e12d4,ce8c51a052819ae7d1279a3733dfdcec0231a18f,dttcodexgigas.ce8c51a052819ae7d1279a3733dfdcec0231a18f,7/10/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
3ea2ea5bc18629410ba51e257ee8316955caf8abc2636c1cb42c5e908c7d66d2,f2f1013b009c44d12275d2eda2f45dab,99eba2138b916f093612ca8e4972929ce21fb393,dttcodexgigas.99eba2138b916f093612ca8e4972929ce21fb393,7/12/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
e19c7fa9caee8bb3ba1a8da36c2698388597143f261736b40033d01b4a89de2f,1594cf926460ce3a0aee7da14d10f862,c2f8eb97fb8ed3f2250a2fedc404fb8bd6fc92f0,WindowsFormsApp3.exe,7/15/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
402473edb758987e464918b497f42928cbacde1013418e10373b704415f42b91,d30677b807f9dac82d52a0a67b871860,ce7b63610e70a6f4618cc16ac736ac426173a008,WindowsFormsApp3.exe,7/17/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
fca16d76655f7b0bb7c39f2230843598e0c4569fea3e7676381f2ba4311dc5c3,893149115281c96590cefb70ed7d26a3,d1a3bb6c7b3be731d2cecefeec7c3117974be45b,Comn.dll,7/17/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
b15f03c175f0f9b6b2add1a12e54d47da9af3ec4aede55e56f64c2be51b68136,8123be7361de3700f9775307486a5400,d6e7fe965bb137c6b55f69e6f074cf8c41698d37,8123be7361de3700f9775307486a5400N.exe,7/18/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
4dec1fe1485727a83d20f3a1223a1e5d900d9e77ec724d1c8b938b4f177d8422,3951794704e12de01ff4e951c3f53280,08e3f1662a961be302fb93a81f31e5cdc22df78c,d3dcompiler_43.dll,7/22/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
3ed712995f7f483ae058c6c8ac3f06ff03d9a83bf0a1ceb0918e896438b82108,087ea86ab1ec35c1e0d6d8342d604790,b49df06059b8d62940d5153b03062c6a31391863,Update.dll,7/23/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
ae9c13234a3884ae3668c7d4f120603c28900850837818ba6f8af88d5f5c42d9,7a56cce8f54b9f6e56c9f1da6d49eb0e,6a160503a13f3795e06ba37d6ac1238e1d74863a,Comn.dll,7/24/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
a2976d8f4c0848ea47653c9d0dece4d5e18bcc18e52f5d21b2e5c9ee4bddabf1,c79ff9412b6769fe85643e6f4761cdba,50686bc60c232e6e8686c34fcf7cf4188c7a1c37,C:\\Program Files\5EClient\resources\node_modules\vibran\vibran.dll,8/6/24,"Hangzhou Saifan Technology Co., Ltd.",0DB8378E7C5F330A988848572F290434
c6219536ecbe10b09050c7d0601d33971c51a9897731ca83dfcd061bc43375b6,22f9d851fdff4dedd74aca760faccc51,14a134aad214db600a12f2b8543eabf63a8dff3f,resources/node_modules/vibran/res22f9d851fdff4dedd74aca760faccc51,8/6/24,"Hangzhou Saifan Technology Co., Ltd.",0DB8378E7C5F330A988848572F290434
364468f5e117088d3dce1164c7ff0db8b7ac6464bea22891e74846e3716c887d,8e68fb1363b35c51d4d9d0287893dce1,1dfcc1025f8c594e84145e318aa999722fcce7ba,pkcs11wrapper.dll,8/14/24,陕西斯慧嘉网络科技有限公司,1C8307F5D992FECE41129D7C5153A17F
25e943f5b2a6932fbe38a9d5bc4d8bd81492f1861f080a2290d85a201a87244a,dc9546b9e55d18d2b875af2490c64e24,e6879999bc3c0a767da8d8f781c274ecf85a9758,WindowsFormsApp3.exe,8/29/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
1ef9bb97a9929fb3f6813b869df488d5d93ecfe74420340ae36208f32037ae98,bc843a7e3aa8abd384899bab1e099900,30dceef47d17a926992f1413a32984757dbca089,dttcodexgigas.30dceef47d17a926992f1413a32984757dbca089,9/5/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
bb3c3fde8b2fd71c8d85a2aeda9f173fcba4ec214b860d69618f9444692d2c50,0aa7ac47e81e304813647679141db132,4f0aeff2d2186f71a40177baf5eaa8f6c46999d0,C:\ProgramData\timoo@27\sentry.dll,9/5/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
5c682070e14bf442d9973400ba9b21baf32908c19422a9ab0c432dea08e7b8d5,43b9e7c405d21473c92b48f4ac69bb07,a1762c059169aa032d34798228dc77121bb7abbe,SoftMgr.exe,9/5/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
a74dddbfbb80a0536dc09576a76d48107f98e754174f8781bfac2828be9706d9,52efc37f203d407f446a19a5f7d1f0b8,431a53b268cee10a012af5ca2cd9c714cb9ef91a,C:\\Program Files\5EClient\resources\node_modules\vibran\cheano64.dll,9/20/24,"Hangzhou Saifan Technology Co., Ltd.",0DB8378E7C5F330A988848572F290434
65a8b0fac814af32adf4e6ef71908328d438db0f58df4f52f7753cb2a3e02ed3,1f39a27fae15c7c771531a05a764e9c7,a57112de4a66131a91fc2ce406ecdd5096572ca4,resources/node_modules/vibran/res1f39a27fae15c7c771531a05a764e9c7,9/20/24,"Hangzhou Saifan Technology Co., Ltd.",0DB8378E7C5F330A988848572F290434
b29a0b0d23f47dc00004ea83ad94653d89455b97586d767affa261997b89e984,7112856f21288d5184b03cff41cd2526,c812e18ce7cb57944d571dcfeec456e20dbe5d27,ac_env_f.exe,9/20/24,"Hangzhou Saifan Technology Co., Ltd.",0DB8378E7C5F330A988848572F290434
17ef63395dd24979aeaf6bae39cc015ab6f2c4f1a636b2f7d376428a0d072ef8,e3037737b8f93aba2883cf659ec8d03e,d29ab97312396bb9c1e7edd803b46954500e5bd8,Gatherum Installer.exe,9/24/24,"Micro Hat Network Technology Co., Ltd.",252075025C25BACBAC23B4BA
5a80b01823f4639281d2738177fccfc0dbd9b62ac4ce1d1360f7d48e9bad6fad,5d6907d61bf9e6682fde52eef71fbf3d,5bd0f4af6ddaced2ad4646579a8a286fdec682d7,C:\Users\user\44f9b359-0c50-4137-80fa-ceda3b169319@27\sentry.dll,9/24/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
0a919f79e7091287ce5b143eaa159b942bca1a33d6494ebb41842b802577bdbb,d5907221a6cdec7f2eb29d76b458c283,261878f269f427b0154ba99f046f18372a8e1cd8,0a919f79e7091287ce5b143eaa159b942bca1a33d6494ebb41842b802577bdbb.msi,10/1/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
d016fb086b0f4b139d425aa13198107beccfb754eb3a2b0c88286f7779ad7c52,6dc4c3e3356329bf44d8569ba55f8eb2,1b0d8f005e8cd92eff2c96d850d569f21060163a,ChampComms.exe,10/6/24,"Eugene Investment & Securities Co.,Ltd",0497D45997C350D2867A7764017C3F3F
a8e0bcb0efbf8b63ce093ff930c5562894662999475fa0035abaef963562a499,ed518ca31ae3fb21ee06dd6ed021a2d9,dd342f8deb5606acda4b8d6834f402001591086b,360Util.dll,10/7/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
d3cec5eb8374374effedc03fefde01313e2c37add426ba2551b89308ca107b8e,a8ec965803bab41c5ed9f0756adf18e8,664f7f37a85b21af89c325649e8c0ad1f7c3c584,Intel-Driver-and-Support-Assistant-Installer.exe,10/12/24,"Micro Hat Network Technology Co., Ltd.",252075025C25BACBAC23B4BA
36959e562fa5c24e00b4685fd4367093ed4b3c9897685ee39935920d77505dd4,7229d28fcbbda52198b0ba5f2e6fe2ec,f9939974cb562a8a4b0ae62fa64bc6fb515909d4,wander.exe,10/18/24,"Morning Leap & Cazo Electronics Technology Co., Ltd.",2686B9982E46DA7E3E0A1D56
